ICSD/MP_ID,formula,sources,MinMass(F1),AverMass(F2),MaxMass(F3),MinPeriodNum(F4),AverPeriodNum(F5),MaxPeriodNum(F6),MinGroupNum(F7),AverGroupNum(F8),MaxGroupNum(F9),MinRaduis(F10),AverRaduis(F11),MaxRaduis(F12),MinEleNegativity(F13),AverEleNegativity(F14),MaxEleNegativity(F15),AverSValenceEleNum(F16),AverPValenceEleNum(F17),AverDValenceEleNum(F18),AverFValenceEleNum(F19),AverSUnfilledState(F20),AverPUnfilledState(F21),AverDUnfilledState(F22),AverFUnfilledState(F23),MinIonizationEner(F24),AverIonizationEner(F25),MaxIonizationEner(F26),MinEleAffinity(F27),AverEleAffinity(F28),MaxEleAffinity(F29),MinMeltingPoint(F30),AverMeltingPoint(F31),MaxMeltingPoint(F32),MinBoilingPoint(F33),AverBoilingPoint(F34),MaxBoilingPoint(F35),MinDensity(F36),AverDensity(F37),MaxDensity(F38),NegaMinGap(SN1),NegaAverGap(SN2),NegaMaxGap(SN3),MinNegaDipoleTotal(SN4),AverNegaDipoleTotal(SN5),MaxNegaDipoleTotal(SN6),MinNegaAnisoQuadrupole(SN7),AverNegaAnisoQuadrupole(SN8),MaxNegaAnisoQuadrupole(SN9),MinNegaAnisoPolar(SN10),AverNegaAnisoPolar(SN11),MaxNegaAnisoPolar(SN12),MinNegaTotalHyperPolar(SN13),AverNegaTotalHyperPolar(SN14),MaxNegaTotalHyperPolar(SN15),TotalNegaCharge(SN16),TotalNegaMultiplicity(SN17),MinNegaFlexibility(SN18),TotalNegaFlexibility(SN19),AverNegaFlexibility(SN20),MaxNegaFlexibility(SN21),AverNegaCharge(SN22),PosiMinGap(SP1),PosiAverGap(SP2),PosiMaxGap(SP3),MinPosiDipoleTotal(SP4),AverPosiDipoleTotal(SP5),MaxPosiDipoleTotal(SP6),MinPosiAnisoQuadrupole(SP7),AverPosiAnisoQuadrupole(SP8),MaxPosiAnisoQuadrupole(SP9),MinPosiAnisoPolar(SP10),AverPosiAnisoPolar(SP11),MaxPosiAnisoPolar(SP12),MinPosiTotalHyperPolar(SP13),AverPosiTotalHyperPolar(SP14),MaxPosiTotalHyperPolar(SP15),TotalPosiCharge(SP16),TotalPosiMultiplicity(SP17),MinPosiFlexibility(SP18),TotalPosiFlexibility(SP19),AverPosiFlexibility(SP20),MaxPosiFlexibility(SP21),Eg_PBE(eV),Eg_EXP(eV),delta_n,d_ij(pm/V)
4493,Pb3(OH)(B9O16)(B(OH)3),ICSD,1.008,28.479,207.2,1,2.216,6,1,13.405,16,120,163.405,202,2.04,2.838,3.44,1.892,2.595,0.811,1.135,0.108,2.757,0,0,7.417,11.675,13.618,0.277,0.975,1.461,13.81,714.169,2348,20.28,1369.76,4273,0,1.561,11.342,4.813,7.595,10.377,12.534,24.106,35.678,30.445,76.08,103.947,4.326,141.023,277.72,165.56,374.672,583.784,-4,2,0,0.07,0.035,0.07,-2,10.163,10.163,10.163,4.781,4.781,4.781,17.622,22.402,17.622,23.084,23.084,23.084,1398.39,1398.39,1398.39,0,1,0.061,0.061,0.061,0.061,4.108,,0.01,9.534
5244,Ca2SiB2O7,ICSD,10.81,20.155,40.08,2,2.417,4,2,13,16,152,176.667,231,1,2.672,3.44,2,2.667,0,0,0,2.333,0,0,6.113,11.025,13.618,-1.39,0.782,1.461,54.36,749.46,2348,90.2,1352.45,4273,0.001,0.847,2.37,4.813,4.855,4.896,29.954,32.816,35.678,46.699,56.166,103.947,0.438,139.079,277.72,165.56,387.301,609.043,-7,2,0.07,0.145,0.072,0.075,-3.5,7.107,7.107,7.107,8.746,8.746,8.746,25.832,34.578,25.832,60.506,60.506,60.506,14179.8,14179.8,14179.8,0,1,0.137,0.137,0.137,0.137,5.514,,0.01,0.5975
8162,K3PS4H2O,ICSD,1.008,26.778,39.098,1,2.818,4,1,9.091,16,120,192.455,275,0.82,2.074,3.44,1.545,2.091,0,0,0.455,1.182,0,0,4.341,9.615,13.618,0.501,1.23,2.077,13.81,269.301,388.36,20.28,604.674,1032,0,1.16,2.067,6.71,9.904,15.835,1.873,12.414,19.001,8.466,21.708,27.884,0,0.19,0.553,0,40.615,82.576,-5,3,0,0.107,0.036,0.107,-1.667,5.294,5.294,5.294,2.639,2.639,2.639,34.753,37.392,34.753,230.047,230.047,230.047,30942.76,30942.76,30942.76,0,1,0.094,0.094,0.094,0.094,2.433,,0.026,3.06
9538,LiTaO3,ICSD,6.938,47.177,180.948,2,2.8,6,1,10.8,16,152,171,217,0.98,2.56,3.44,1.8,2.4,0.6,2.8,0.2,1.2,1.4,0,5.392,10.827,13.618,0.322,1.065,1.461,54.36,781.346,3290,90.2,1523.32,5731,0.001,3.388,16.4,7.068,7.068,7.068,60.145,60.145,60.145,251.064,311.208,251.064,0.018,0.018,0.018,44.822,44.822,44.822,-3,1,0.115,0.115,0.115,0.115,-3,7.792,7.792,7.792,0.002,0.002,0.002,24.519,24.522,24.519,5.274,5.274,5.274,8.625,8.625,8.625,0,1,0.057,0.057,0.057,0.057,3.7,4.1,0.002,
10380,KTaGe3O9,ICSD,15.999,41.566,180.948,2,2.857,6,1,13.714,16,152,178.071,275,0.82,2.808,3.44,1.929,3,2.357,1,0.071,2.143,0.5,0,4.341,11.321,13.618,0.322,1.287,1.461,54.36,553.569,3290,90.2,1206.629,5731,0.001,2.377,16.4,5.743,6.405,7.068,32.145,46.145,60.145,53.783,171.677,251.064,0.018,0.127,0.235,44.822,105.492,166.162,-7,2,0.046,0.162,0.081,0.115,-3.5,5.294,5.294,5.294,2.639,2.639,2.639,34.753,37.392,34.753,230.047,230.047,230.047,30942.76,30942.76,30942.76,0,1,0.094,0.094,0.094,0.094,3.609,,0.049,1.981
10381,RbTaGe3O9,ICSD,15.999,44.878,180.948,2,2.929,6,1,13.714,16,152,180.071,303,0.82,2.808,3.44,1.929,3,2.357,1,0.071,2.143,0.5,0,4.177,11.309,13.618,0.322,1.285,1.461,54.36,551.85,3290,90.2,1201.557,5731,0.001,2.422,16.4,5.743,6.405,7.068,32.145,46.145,60.145,53.783,171.677,251.064,0.018,0.127,0.235,44.822,105.492,166.162,-7,2,0.046,0.162,0.081,0.115,-3.5,5.014,5.014,5.014,4.599,4.599,4.599,33.92,38.519,33.92,303.357,303.357,303.357,60853.629,60853.629,60853.629,0,1,0.099,0.099,0.099,0.099,3.577,,0.044,1.6005
10382,RbNbGe3O9,ICSD,15.999,38.59,92.906,2,2.857,5,1,13.714,16,152,179.357,303,0.82,2.815,3.44,1.857,3,2.429,0,0.143,2.143,0.429,0,4.177,11.228,13.618,0.468,1.326,1.461,54.36,513.279,2750,90.2,1150.557,5017,0.001,1.863,8.57,5.743,6.425,7.107,32.145,46.145,60.144,53.783,171.633,250.977,0.235,0.503,0.772,40.632,103.397,166.162,-7,2,0.046,0.141,0.07,0.095,-3.5,5.014,5.014,5.014,4.599,4.599,4.599,33.92,38.519,33.92,303.357,303.357,303.357,60853.629,60853.629,60853.629,0,1,0.099,0.099,0.099,0.099,2.854,,0.093,2.528
10383,TlTaGe3O9,ICSD,15.999,53.372,204.383,2,3,6,5,14.571,16,152,172.429,217,1.5,2.865,3.44,2,3.071,3.071,2,0,2.5,0.5,0,6.108,11.447,13.618,0.2,1.266,1.461,54.36,570.746,3290,90.2,1257.629,5731,0.001,3.156,16.4,5.743,6.405,7.068,32.145,46.145,60.145,53.783,171.677,251.064,0.018,0.127,0.235,44.822,105.492,166.162,-7,2,0.046,0.162,0.081,0.115,-3.5,8.909,8.909,8.909,0.011,0.011,0.011,2.72,2.731,2.72,89.004,89.004,89.004,15.072,15.072,15.072,0,1,0.047,0.047,0.047,0.047,3.86,,0.008,0.7075
10384,BaSnGe3O9,ICSD,15.999,44.137,137.33,2,2.929,6,2,14.429,16,152,177.571,268,0.89,2.846,3.44,2,3.143,2.857,0,0,2.429,0,0,5.212,11.344,13.618,-0.48,1.28,1.461,54.36,402.037,1211.4,90.2,1083.914,3106,0.001,1.921,7.287,5.743,5.76,5.778,32.145,32.146,32.146,53.782,59.037,53.783,0.17,0.203,0.235,65.046,115.604,166.162,-8,2,0.046,0.096,0.048,0.05,-4,7.437,7.437,7.437,8.29,8.29,8.29,25.893,34.183,25.893,58.06,58.06,58.06,11254.2,11254.2,11254.2,0,1,0.234,0.234,0.234,0.234,3.242,,0.004,0.255
10443,K(B(SO3Cl)4),ICSD,10.81,23.272,39.098,2,2.455,4,1,15.364,17,152,168.682,275,0.82,3.05,3.44,1.955,3.864,0,0,0.045,1.864,0,0,4.341,12.244,13.618,0.277,1.868,3.617,54.36,253.495,2348,90.2,464.311,4273,0.001,0.525,2.37,4.813,8.285,11.269,3.625,21.694,35.678,2.735,22.605,103.947,0,92.575,277.72,0,55.58,165.56,-6,3,0,0.272,0.091,0.201,-2,5.294,5.294,5.294,2.639,2.639,2.639,34.753,37.392,34.753,230.047,230.047,230.047,30942.76,30942.76,30942.76,0,1,0.094,0.094,0.094,0.094,4.374,,0.065,0.96
12134,Na(BSi2O5)(OH)2,ICSD,1.008,15.691,28.085,1,2.077,3,1,12,16,120,164.846,227,0.93,2.712,3.44,1.769,2.538,0,0,0.231,2.077,0,0,5.139,11.713,13.618,0.277,1.179,1.461,13.81,500.084,2348,20.28,1013.612,4273,0,0.616,2.37,4.813,6.696,10.377,12.534,26.055,35.678,30.445,41.622,103.947,0.438,94.161,277.72,165.56,452.796,609.043,-8,3,0,0.145,0.048,0.075,-2.667,6.246,6.246,6.246,1.865,1.865,1.865,30.739,32.604,30.739,77.998,77.998,77.998,9284.889,9284.889,9284.889,0,1,0.083,0.083,0.083,0.083,2.363,,0.224,16.3325
